asset,real_mean,gen_mean,abs_mean_error,real_std,gen_std,abs_std_error,real_acf1,gen_acf1,abs_acf1_error
Asset_1,0.050070703,0.022223858,0.027846845,1.0038483,1.0061618,0.0023134947,0.1537573,0.16818303,0.014425725
Asset_2,0.055669505,0.012329291,0.043340214,0.9872618,1.0069649,0.01970315,0.1570959,0.18825151,0.031155616
Asset_3,0.054311413,-0.030924825,0.08523624,1.0399352,1.0068202,0.03311503,0.19062595,0.17486215,0.015763804
Asset_4,-0.004768542,-0.046100963,0.04133242,0.95261836,1.0096182,0.056999803,0.19466911,0.13179806,0.062871054
Asset_5,0.04675479,-0.03959604,0.08635083,0.9904831,1.0136856,0.023202479,0.20281595,0.16566473,0.037151217
